id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Roettgen,CDU,Politik,Deustchland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmueller,,Recht,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schloegel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Zivil,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
cdu,CDU,,,
spd,SPD,,,
fdp,FDP,,,
linke,Die Linke,,,
gruene,Die Gruenen,,,
f500,Folge 500,,,
f501,Folge 501,,,
f502,Folge 502,,,
f503,Folge 503,,,
